----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
          Linear-143                [1, 2, 256]               0
MultiheadAttention-144  [[-1, 2, 64], [-1, 2, 2]]               0
          Linear-145                [1, 2, 256]         131,328
          Linear-146                [1, 2, 256]               0
       LayerNorm-147                [1, 2, 256]             512
       Attention-148  [[-1, 2, 256], [-1, 2, 2]]               0
          Linear-149                [1, 2, 256]          65,536
          Linear-150                [1, 2, 256]               0
          Linear-151                [1, 2, 256]          65,536
          Linear-152                [1, 2, 256]               0
          Linear-153                [1, 2, 256]          65,536
          Linear-154                [1, 2, 256]               0
MultiheadAttention-155  [[-1, 2, 64], [-1, 2, 2]]               0
          Linear-156                [1, 2, 256]         131,328
          Linear-157                [1, 2, 256]               0
       LayerNorm-158                [1, 2, 256]             512
       Attention-159  [[-1, 2, 256], [-1, 2, 2]]               0
          Conv1d-160               [1, 1024, 2]         263,168
            Conv-161               [1, 1024, 2]               0
          Conv1d-162                [1, 256, 2]         262,400
            Conv-163                [1, 256, 2]               0
       LayerNorm-164                [1, 2, 256]             512
             FFN-165                [1, 2, 256]               0
          Linear-166                 [1, 2, 80]          20,560
          Linear-167                 [1, 2, 80]               0
          Conv1d-168                [1, 256, 6]         102,656
            Conv-169                [1, 256, 6]               0
     BatchNorm1d-170                [1, 256, 2]             512
         Dropout-171                [1, 256, 2]               0
          Conv1d-172                [1, 256, 6]         327,936
            Conv-173                [1, 256, 6]               0
     BatchNorm1d-174                [1, 256, 2]             512
         Dropout-175                [1, 256, 2]               0
          Conv1d-176                [1, 256, 6]         327,936
            Conv-177                [1, 256, 6]               0
     BatchNorm1d-178                [1, 256, 2]             512
         Dropout-179                [1, 256, 2]               0
          Conv1d-180                [1, 256, 6]         327,936
            Conv-181                [1, 256, 6]               0
     BatchNorm1d-182                [1, 256, 2]             512
         Dropout-183                [1, 256, 2]               0
          Conv1d-184                 [1, 80, 6]         102,480
            Conv-185                 [1, 80, 6]               0
     PostConvNet-186                 [1, 80, 2]               0
          Linear-187                  [1, 2, 1]             257
          Linear-188                  [1, 2, 1]               0
================================================================
Total params: 8,457,377
Trainable params: 7,933,089
Non-trainable params: 524,288
----------------------------------------------------------------
Input size (MB): 0.10
Forward/backward pass size (MB): 1.06
Params size (MB): 32.26
Estimated Total Size (MB): 33.42
----------------------------------------------------------------
